id_aluno_ano,nome,ano,ponto_virada,inde,iaa,ieg,ips,ida,ipp,ipv,ian,anos_pm,2020,2021,2022,fem,masc,pedra,bolsista,nao_bolsista,in_fase,ipv_pre_processado_resultado,ieg_pre_processado_resultado,ida_pre_processado_resultado,rec_ava_1_pre_processado_resultado,rec_ava_2_pre_processado_resultado,rec_ava_3_pre_processado_resultado,rec_ava_4_pre_processado_resultado,fase
aluno873_2021,aluno873,2021,0.0,5.864,10.0,5.8,7.5,1.5,7.9,6.8,5.0,1,0.0,1.0,0.0,1.0,0.0,2,0.0,1.0,0,,,,0.0,0.0,0.0,0.0,1
aluno874_2020,aluno874,2020,0.0,7.706946333333334,8.75001,8.0,5.0,6.333333333333333,8.541666666666666,8.05556,10.0,4,1.0,0.0,0.0,1.0,0.0,3,1.0,0.0,1,1.0,1.0,-1.0,,,,,4
aluno874_2021,aluno874,2021,0.0,6.192,7.1,6.7,6.9,2.7,7.2,6.1,10.0,5,0.0,1.0,0.0,1.0,0.0,2,1.0,0.0,0,,,,1.0,0.0,1.0,0.0,5
aluno875_2021,aluno875,2021,0.0,8.069,8.0,10.0,7.5,7.1,8.4,8.8,5.0,0,0.0,1.0,0.0,0.0,1.0,3,0.0,1.0,0,,,,0.0,0.0,0.0,0.0,0
aluno876_2022,aluno876,2022,0.0,7.410072141650422,9.50002,9.217024041585445,7.5,7.166666666666666,5.0,7.16666,5.0,0,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,-1.0,1.0,-1.0,0.0,0.0,,,0
aluno877_2020,aluno877,2020,0.0,7.543335000000001,8.000020000000001,8.3,7.5,7.5,7.5,7.916665,5.0,1,1.0,0.0,0.0,1.0,0.0,3,0.0,1.0,1,-1.0,1.0,1.0,,,,,2
aluno877_2021,aluno877,2021,0.0,6.379,7.4,7.5,7.5,1.9,8.1,8.5,5.0,2,0.0,1.0,0.0,1.0,0.0,2,0.0,1.0,0,,,,0.0,1.0,0.0,0.0,2
aluno877_2022,aluno877,2022,0.0,6.05804740909091,7.91667,6.607954545454545,7.5,4.75,7.03125,5.2083225,5.0,3,0.0,0.0,1.0,1.0,0.0,2,1.0,0.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,3
aluno878_2021,aluno878,2021,0.0,7.083,9.0,6.7,7.5,6.7,5.6,8.5,5.0,0,0.0,1.0,0.0,0.0,1.0,3,0.0,1.0,0,,,,0.0,1.0,0.0,0.0,0
aluno879_2022,aluno879,2022,0.0,6.625001666666667,9.50002,8.833333333333332,5.0,5.5,3.75,7.166665,5.0,0,0.0,0.0,1.0,0.0,1.0,2,1.0,0.0,0,-1.0,1.0,-1.0,0.0,1.0,,,1
aluno880_2020,aluno880,2020,0.0,4.8113893333333335,7.41668,5.8,5.0,0.5,6.875,5.611106666666666,5.0,1,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,1,-1.0,-1.0,-1.0,,,,,2
aluno881_2022,aluno881,2022,0.0,8.057199636363638,9.50002,9.848484848484848,7.5,7.833333333333333,6.875,8.166670000000002,5.0,0,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0,,1
aluno882_2022,aluno882,2022,0.0,7.576531180695848,9.50002,7.570145903479236,7.5,9.166666666666668,5.625,7.333333333333333,5.0,0,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,-1.0,1.0,1.0,0.0,0.0,0.0,,1
aluno883_2022,aluno883,2022,0.0,7.791668,9.50002,9.666666666666666,7.5,5.5,6.25,7.166663333333332,10.0,0,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,-1.0,1.0,-1.0,0.0,0.0,0.0,,1
aluno884_2021,aluno884,2021,0.0,4.511,7.9,3.9,0.0,2.1,7.5,6.4,5.0,0,0.0,1.0,0.0,1.0,0.0,1,0.0,1.0,0,,,,1.0,-1.0,1.0,0.0,5
aluno884_2022,aluno884,2022,0.0,5.537423023965141,6.66668,5.995438453159041,7.5,4.9,4.583333333333333,6.16667,2.5,1,0.0,0.0,1.0,1.0,0.0,1,1.0,0.0,0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,,5
aluno885_2021,aluno885,2021,0.0,7.772,10.0,8.3,7.5,3.9,8.1,8.8,10.0,0,0.0,1.0,0.0,1.0,0.0,3,0.0,1.0,0,,,,1.0,0.0,0.0,0.0,1
aluno885_2022,aluno885,2022,0.0,8.018089853232116,9.000020000000001,9.04876926616057,7.5,8.833333333333332,6.25,8.333336666666668,5.0,1,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,,1
aluno886_2020,aluno886,2020,0.0,8.71667,10.00002,10.0,7.5,8.5,7.5,7.58334,10.0,0,1.0,0.0,0.0,0.0,1.0,4,0.0,1.0,1,1.0,1.0,1.0,,,,,0
aluno886_2021,aluno886,2021,0.0,8.544,9.5,10.0,7.5,7.1,7.8,8.3,10.0,1,0.0,1.0,0.0,0.0,1.0,4,0.0,1.0,0,,,,1.0,0.0,0.0,0.0,0
aluno886_2022,aluno886,2022,0.0,8.086112,9.50002,9.666666666666666,7.5,7.25,6.25,6.888883333333333,10.0,2,0.0,0.0,1.0,0.0,1.0,4,1.0,0.0,0,-1.0,1.0,-1.0,0.0,0.0,1.0,,1
aluno887_2022,aluno887,2022,0.0,5.852779111111111,9.000020000000001,7.222222222222222,7.5,0.0,4.583333333333333,6.499996666666666,10.0,0,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,1
aluno888_2020,aluno888,2020,0.0,6.593890666666667,8.500020000000001,7.9,7.5,0.0,7.916666666666668,8.11111,10.0,0,1.0,0.0,0.0,1.0,0.0,2,0.0,1.0,1,1.0,1.0,-1.0,,,,,1
aluno889_2020,aluno889,2020,0.0,7.633752,9.000020000000001,8.7,7.5,7.0,8.4375,7.5,5.0,1,1.0,0.0,0.0,1.0,0.0,3,0.0,1.0,1,-1.0,1.0,-1.0,,,,,2
aluno889_2021,aluno889,2021,0.0,7.933,8.5,8.3,7.5,8.3,7.5,8.8,5.0,2,0.0,1.0,0.0,1.0,0.0,3,0.0,1.0,0,,,,1.0,0.0,1.0,0.0,2
aluno889_2022,aluno889,2022,0.0,7.831592958621301,8.33334,8.513866737550948,7.5,6.555555555555556,7.34375,7.4999975,10.0,3,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,3
aluno890_2020,aluno890,2020,0.0,6.867500666666667,9.000020000000001,7.9,6.875,5.5,6.666666666666667,7.1666599999999985,5.0,2,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0,1,-1.0,1.0,-1.0,,,,,2
aluno890_2021,aluno890,2021,0.0,6.058,10.0,5.3,7.5,2.3,7.2,5.4,10.0,3,0.0,1.0,0.0,0.0,1.0,2,0.0,1.0,0,,,,1.0,1.0,0.0,0.0,3
aluno891_2022,aluno891,2022,0.0,8.025002,8.500020000000001,10.0,7.5,6.5,6.25,7.5,10.0,0,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,1.0,1.0,-1.0,0.0,0.0,0.0,,1
aluno892_2020,aluno892,2020,0.0,7.698057333333334,9.50002,9.4,7.5,6.5,7.291666666666667,7.944443333333333,5.0,1,1.0,0.0,0.0,0.0,1.0,3,0.0,1.0,1,-1.0,1.0,-1.0,,,,,1
aluno892_2021,aluno892,2021,0.0,7.411,7.0,9.6,5.6,6.9,8.3,7.6,5.0,2,0.0,1.0,0.0,0.0,1.0,3,0.0,1.0,0,,,,1.0,0.0,1.0,0.0,1
aluno893_2022,aluno893,2022,0.0,5.606945333333334,0.0,7.000000000000001,7.5,3.5,6.458333333333334,5.55556,10.0,0,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,2
aluno894_2020,aluno894,2020,0.0,8.799447333333335,10.00002,9.4,8.125,8.0,8.958333333333334,8.05556,10.0,2,1.0,0.0,0.0,1.0,0.0,4,0.0,1.0,1,1.0,1.0,1.0,,,,,5
