ano,nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,fase,turma,sinalizador_ingressante,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,defasagem,fase_ideal,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,indicado_bolsa
2020,aluno1017,Rede Decisão/União,11,2,0.0,8.473890666666668,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,8.8,7.5,8.5,7.083333333333333,8.277776666666666,10.0,Fase 2,J,,,,,,,,,,,,,,,,,
2020,aluno1018,Escola Pública,17,0,0.0,4.995277333333333,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,4.9,7.5,0.0,8.541666666666666,5.388883333333333,5.0,Fase 5,L,,,,,,,,,,,,,,,,,
2020,aluno1019,Escola Pública,17,0,0.0,6.252775000000001,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.24999,6.5,7.5,4.333333333333333,8.333333333333334,6.88888,5.0,Fase 5,A,,,,,,,,,,,,,,,,,
2020,aluno1020,FIAP,18,3,,6.250001,D,Quartzo,Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.,Ponto a melhorar em 2021: As suas notas na Faculdade.,,8.75001,0.0,6.875,7.5,0.0,0.0,10.0,Fase 8,A,,,,,,,,,,,,,,,,,
2020,aluno1021,Escola Pública,12,1,0.0,6.782918,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,7.8,6.875,4.5,7.1875,7.58333,5.0,Fase 2,M,,,,,,,,,,,,,,,,,
2020,aluno1022,Escola Pública,8,0,0.0,8.780002,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.9,7.5,9.0,7.5,7.5,10.0,ALFA,F,,,,,,,,,,,,,,,,,
2020,aluno1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1024,Escola Pública,17,0,0.0,3.7622213333333336,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,2.2,3.125,0.0,7.708333333333334,4.94444,5.0,Fase 5,L,,,,,,,,,,,,,,,,,
2020,aluno1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1027,Rede Decisão/União,15,4,1.0,8.069793166666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.75001,9.0,4.375,6.333333333333333,8.90625,9.0000025,10.0,Fase 5,G,,,,,,,,,,,,,,,,,
2020,aluno1028,Escola Pública,12,1,0.0,7.73389,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,9.1,7.5,7.5,7.916666666666668,7.111106666666665,5.0,Fase 2,C,,,,,,,,,,,,,,,,,
2020,aluno1029,Escola Pública,10,1,1.0,8.352502999999999,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,8.7,7.5,9.0,8.125,9.000005,5.0,Fase 1,D,,,,,,,,,,,,,,,,,
2020,aluno1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1031,Escola Pública,8,0,1.0,9.166669,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,10.0,7.5,10.0,7.5,8.833335,10.0,ALFA,B,,,,,,,,,,,,,,,,,
2020,aluno1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1034,Escola Pública,11,1,0.0,7.751391333333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,8.5,7.5,5.5,8.125,7.944446666666668,10.0,Fase 2,N,,,,,,,,,,,,,,,,,
2020,aluno1035,Escola Pública,10,0,0.0,8.263334666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,9.4,7.5,10.0,7.5,7.166663333333332,5.0,Fase 1,C,,,,,,,,,,,,,,,,,
2020,aluno1036,Escola Pública,12,0,0.0,4.701666666666667,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.41668,3.3,6.875,0.0,6.458333333333334,6.833326666666666,5.0,Fase 1,E,,,,,,,,,,,,,,,,,
2020,aluno1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1041,Escola Pública,12,1,0.0,7.793543333333334,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.75001,5.4,7.5,8.666666666666666,7.96875,7.79167,10.0,Fase 3,M,,,,,,,,,,,,,,,,,
2020,aluno1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1046,Escola Pública,14,2,1.0,7.993334666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,9.3,7.5,7.666666666666667,8.333333333333334,8.83334,5.0,Fase 3,R,,,,,,,,,,,,,,,,,
2020,aluno1047,Escola Pública,13,2,0.0,4.833887333333333,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,2.1,7.5,0.0,7.916666666666668,5.611103333333333,10.0,Fase 4,L,,,,,,,,,,,,,,,,,
2020,aluno1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1051,Escola Pública,12,1,0.0,6.254445333333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,2.8,7.5,3.6666666666666665,7.5,7.72222,10.0,Fase 3,F,,,,,,,,,,,,,,,,,
2020,aluno1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1056,Escola Pública,16,1,0.0,4.336873833333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,3.7,4.375,2.6666666666666665,6.09375,5.0833275,2.5,Fase 3,L,,,,,,,,,,,,,,,,,
2020,aluno1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1061,Escola Pública,12,2,0.0,7.940278666666668,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,8.5,6.875,9.0,7.916666666666668,7.555549999999999,5.0,Fase 2,C,,,,,,,,,,,,,,,,,
