nome,ano,ponto_virada,inde,iaa,ieg,ips,ida,ipp,ipv,ian,anos_pm,2020,2021,2022,fem,masc,pedra,bolsista,nao_bolsista,in_fase,ipv_pre_processado_resultado,ieg_pre_processado_resultado,ida_pre_processado_resultado,rec_ava_1_pre_processado_resultado,rec_ava_2_pre_processado_resultado,rec_ava_3_pre_processado_resultado,rec_ava_4_pre_processado_resultado
aluno46,2022,0.0,7.398436561403509,8.500020000000001,9.082456140350876,7.5,5.0,6.041666666666667,6.888883333333333,10.0,2,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,-1.0,1.0,-1.0,0.0,0.0,0.0,
aluno47,2021,0.0,6.056,8.5,6.3,7.5,4.0,7.5,5.8,5.0,0,0.0,1.0,0.0,0.0,1.0,2,0.0,1.0,0,,,,0.0,0.0,0.0,0.0
aluno47,2022,0.0,7.65278,8.500020000000001,10.0,7.5,7.416666666666666,6.25,7.222223333333333,5.0,1,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,-1.0,1.0,-1.0,1.0,1.0,1.0,
aluno48,2022,0.0,3.914881285714285,5.41667,3.803571428571429,6.25,0.0,5.625,4.625,5.0,0,0.0,0.0,1.0,1.0,0.0,1,1.0,0.0,0,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0
aluno49,2022,1.0,8.339586333333333,9.50002,10.0,7.5,8.166666666666666,6.5625,9.250005,5.0,0,0.0,0.0,1.0,1.0,0.0,4,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,,
aluno50,2022,0.0,4.966393630641453,0.0,4.630580097651709,7.5,3.055555555555556,5.625,5.5833325,10.0,0,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0
aluno51,2020,0.0,8.955835,9.50002,9.8,7.5,10.0,8.125,7.416665,10.0,1,1.0,0.0,0.0,0.0,1.0,4,0.0,1.0,1,1.0,1.0,1.0,,,,
aluno51,2021,0.0,8.051,9.0,9.2,7.5,5.4,7.7,8.6,10.0,2,0.0,1.0,0.0,0.0,1.0,3,0.0,1.0,0,,,,1.0,0.0,0.0,0.0
aluno51,2022,0.0,6.953190321839081,9.000020000000001,9.203448275862067,7.5,5.083333333333334,5.625,6.91666,5.0,3,0.0,0.0,1.0,0.0,1.0,2,1.0,0.0,0,-1.0,1.0,-1.0,0.0,1.0,,
aluno52,2020,0.0,8.181112666666667,10.00002,8.6,6.25,7.0,7.916666666666668,8.22222,10.0,2,1.0,0.0,0.0,0.0,1.0,3,0.0,1.0,1,1.0,1.0,-1.0,,,,
aluno53,2020,,8.696667999999999,9.16668,10.0,7.5,8.2,0.0,0.0,10.0,4,1.0,0.0,0.0,1.0,0.0,4,1.0,0.0,1,1.0,1.0,1.0,,,,
aluno54,2021,0.0,6.388,7.5,5.8,7.5,4.1,7.3,5.8,10.0,0,0.0,1.0,0.0,1.0,0.0,2,0.0,1.0,0,,,,0.0,1.0,0.0,0.0
aluno55,2020,1.0,6.878125166666666,0.0,9.0,7.5,6.333333333333333,8.28125,8.666667499999999,5.0,3,1.0,0.0,0.0,1.0,0.0,2,1.0,0.0,1,-1.0,1.0,-1.0,,,,
aluno55,2021,1.0,8.219,9.6,8.9,8.1,7.6,8.1,9.2,5.0,4,0.0,1.0,0.0,1.0,0.0,3,1.0,0.0,0,,,,1.0,1.0,1.0,1.0
aluno56,2021,0.0,6.777,8.8,7.5,5.6,5.5,7.8,7.2,5.0,0,0.0,1.0,0.0,0.0,1.0,2,0.0,1.0,0,,,,1.0,1.0,1.0,1.0
aluno56,2022,0.0,3.036573379084968,0.0,3.597794117647059,5.0,0.4444444444444445,3.28125,4.500003333333333,5.0,1,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
aluno57,2020,0.0,7.311667166666667,8.33334,7.1,6.25,5.833333333333333,7.5,7.5833325,10.0,2,1.0,0.0,0.0,0.0,1.0,3,1.0,0.0,1,1.0,-1.0,-1.0,,,,
aluno57,2021,0.0,7.213,8.3,6.9,6.3,6.0,7.7,7.0,10.0,3,0.0,1.0,0.0,0.0,1.0,3,1.0,0.0,0,,,,0.0,1.0,1.0,1.0
aluno58,2022,0.0,7.305158063492064,7.91667,7.991071428571429,7.5,6.888888888888889,8.125,7.374995,5.0,0,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0
aluno59,2020,0.0,6.563055666666668,8.75001,3.6,7.5,6.0,7.291666666666667,6.444439999999998,10.0,0,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0,1,1.0,-1.0,-1.0,,,,
aluno60,2020,0.0,7.679582333333333,7.5,9.7,6.875,6.666666666666667,8.4375,8.124995,5.0,4,1.0,0.0,0.0,0.0,1.0,3,1.0,0.0,1,-1.0,1.0,-1.0,,,,
aluno60,2021,0.0,6.956,7.9,7.5,6.9,6.1,7.2,7.7,5.0,5,0.0,1.0,0.0,0.0,1.0,3,1.0,0.0,0,,,,0.0,1.0,1.0,1.0
aluno60,2022,0.0,5.783132947712418,8.33334,4.129901960784314,5.625,4.044444444444444,7.96875,7.277773333333332,5.0,6,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0,-1.0,-1.0,-1.0,0.0,1.0,1.0,0.0
aluno61,2020,0.0,5.604168666666667,9.000020000000001,6.5,7.5,0.0,6.875,7.333333333333333,5.0,0,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,1,-1.0,-1.0,-1.0,,,,
aluno61,2021,0.0,3.017,0.0,1.3,5.6,0.0,6.9,5.1,5.0,1,0.0,1.0,0.0,1.0,0.0,1,0.0,1.0,0,,,,0.0,0.0,0.0,0.0
aluno61,2022,0.0,6.410355757575758,10.00002,7.787878787878788,7.5,2.5,6.25,7.38889,5.0,2,0.0,0.0,1.0,1.0,0.0,2,1.0,0.0,0,-1.0,1.0,-1.0,0.0,1.0,0.0,
aluno62,2020,0.0,6.330001333333334,7.91668,6.9,7.5,3.5,7.083333333333333,7.5,5.0,0,1.0,0.0,0.0,0.0,1.0,2,0.0,1.0,1,-1.0,-1.0,-1.0,,,,
aluno62,2021,0.0,5.704,8.5,4.6,7.5,3.1,8.1,6.2,5.0,1,0.0,1.0,0.0,0.0,1.0,2,0.0,1.0,0,,,,0.0,0.0,0.0,0.0
aluno63,2022,0.0,6.683821329434698,9.50002,8.544103313840155,5.625,5.083333333333334,5.625,6.91666,5.0,0,0.0,0.0,1.0,1.0,0.0,2,1.0,0.0,0,-1.0,1.0,-1.0,0.0,0.0,,
aluno64,2022,0.0,4.664931388888889,8.75001,3.611111111111112,7.5,2.833333333333333,4.84375,3.8333325,5.0,0,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0
aluno65,2021,1.0,8.438,10.0,10.0,7.5,6.9,8.1,10.0,5.0,0,0.0,1.0,0.0,0.0,1.0,4,0.0,1.0,0,,,,1.0,1.0,0.0,0.0
aluno65,2022,1.0,7.987503111111112,10.00002,9.555555555555555,5.625,8.166666666666666,6.25,8.777783333333334,5.0,1,0.0,0.0,1.0,0.0,1.0,3,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,
aluno66,2021,0.0,6.875,8.0,6.3,7.5,5.9,8.5,7.7,5.0,0,0.0,1.0,0.0,1.0,0.0,2,0.0,1.0,0,,,,1.0,0.0,1.0,0.0
aluno66,2022,0.0,7.171874500000001,6.66667,5.784722222222221,7.5,7.777777777777779,7.34375,6.5416625,10.0,1,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0
aluno67,2021,0.0,4.939,7.4,3.3,7.5,1.1,8.3,6.1,5.0,0,0.0,1.0,0.0,1.0,0.0,1,0.0,1.0,0,,,,1.0,0.0,0.0,0.0
aluno67,2022,0.0,6.770192769423559,9.000020000000001,7.88220551378446,5.0,5.583333333333333,5.9375,7.916665,5.0,1,0.0,0.0,1.0,1.0,0.0,2,1.0,0.0,0,1.0,1.0,-1.0,1.0,1.0,,
aluno68,2020,0.0,5.988752,9.000020000000001,7.6,7.5,0.0,7.1875,8.0,5.0,0,1.0,0.0,0.0,0.0,1.0,1,0.0,1.0,1,-1.0,1.0,-1.0,,,,
aluno69,2022,1.0,7.598297219273481,10.00002,7.545642763034067,7.5,7.883333333333333,5.625,8.5,5.0,0,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,,
aluno70,2022,1.0,8.205557333333335,10.00002,8.833333333333332,7.5,6.5,6.666666666666666,8.61111,10.0,0,0.0,0.0,1.0,1.0,0.0,4,1.0,0.0,0,1.0,1.0,-1.0,1.0,0.0,0.0,
aluno71,2020,0.0,7.550001,8.500020000000001,10.0,5.0,9.5,2.5,7.749995,5.0,1,1.0,0.0,0.0,1.0,0.0,1,0.0,1.0,1,-1.0,1.0,1.0,,,,
aluno72,2022,0.0,7.728843833635814,7.50002,8.602540834845735,8.125,8.833333333333332,5.625,8.083335,5.0,0,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,,
aluno73,2022,0.0,6.712044773504273,8.33334,6.992521367521367,7.5,6.5,6.71875,6.2916575,5.0,0,0.0,0.0,1.0,1.0,0.0,2,1.0,0.0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0
aluno74,2022,0.0,6.684722722222222,7.91667,6.25,6.875,6.111111111111112,7.5,7.4166675,5.0,0,0.0,0.0,1.0,1.0,0.0,2,1.0,0.0,0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0
aluno75,2020,1.0,9.687504,10.00002,10.0,10.0,9.0,9.375,9.75001,10.0,1,1.0,0.0,0.0,1.0,0.0,4,1.0,0.0,1,1.0,1.0,1.0,,,,
aluno75,2021,1.0,9.108,10.0,9.2,7.5,8.5,8.8,9.7,10.0,2,0.0,1.0,0.0,1.0,0.0,4,1.0,0.0,0,,,,1.0,1.0,1.0,1.0
aluno75,2022,1.0,9.441521857142858,10.00002,9.660714285714286,9.375,8.5,9.21875,9.75001,10.0,3,0.0,0.0,1.0,1.0,0.0,4,0.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
