nome,idade,fase,iaa,inde,ponto_virada,sexo,ips,pedra,ipp,ida,bolsista_encoded,pedra_encoded,ian,ieg,ipv,corraca,diff_fase,na_fase,ponto_virada_encoded,cg,cf,ct
ALUNO-88,11.0,2,10.000020000000001,9.040420000000001,Sim,F,7.5,Topázio,5.9375,9.5,1,4,10,9.4,9.58334,B,0.0,1,1,44.0,12.0,4.0
ALUNO-88,12.0,2,9.5,8.096,Sim,F,6.3,Ametista,8.1,7.4,1,3,5.0,9.6,9.1,B,-1.0,0,1,44.0,12.0,4.0
ALUNO-88,13.0,3,9.58335,8.427269800194932,Sim,F,5.625,Topázio,8.90625,6.877777777777777,1,4,10.0,9.11793372319688,9.0833375,B,0.0,1,1,44.0,12.0,4.0
ALUNO-90,14.0,3,8.33334,7.073542833333333,Não,M,7.5,Ágata,7.96875,7.666666666666667,0,2,5,5.8,7.5000025,R,-1.0,0,0,812.0,56.0,6.0
ALUNO-90,15.0,4,7.1,5.994,Não,M,7.5,Ágata,7.2,4.6,0,2,5.0,5.0,7.0,R,-1.0,0,0,812.0,56.0,6.0
ALUNO-90,16.0,5,5.833320000000001,5.195056982905983,Não,M,7.5,Quartzo,6.71875,3.555555555555556,0,1,5.0,3.004807692307692,6.888886666666665,R,-1.0,0,0,812.0,56.0,6.0
ALUNO-91,10.0,2,9.000020000000001,6.846668,Não,F,6.875,Ágata,5.625,4.5,0,2,10,6.4,7.58333,B,0.0,1,0,350.0,51.0,7.0
ALUNO-91,11.0,2,9.5,4.200,Não,F,7.5,Quartzo,5.6,2.2,0,1,10.0,0.0,2.5,B,0.0,1,0,350.0,51.0,7.0
ALUNO-91,12.0,2,8.500020000000001,7.412884468772608,Não,F,7.5,Ametista,6.458333333333334,7.916666666666667,0,3,5.0,7.918575677196368,7.500003333333334,B,-1.0,0,0,350.0,51.0,7.0
ALUNO-92,11.0,0,9.50002,7.232068817813765,Não,F,7.5,Ametista,5.625,5.416666666666666,0,3,5.0,9.26450742240216,7.66666,R,-2.0,0,0,416.0,123.0,3.0
