ano,nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,fase,turma,sinalizador_ingressante,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,defasagem,fase_ideal,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,indicado_bolsa
2022,aluno182,,,,0.0,7.093227724696356,,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,6.518218623481781,6.875,6.0,4.6875,7.41666,10.0,ALFA,S,,Mantido na Fase atual,Mantido na Fase atual,,,,ALFA  ,2022,0.0,459.0,134.0,6.0,6.666666666666667,5.333333333333333,,2,0.0
2020,aluno1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno337,,,,1.0,7.123577106726749,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,0.0,7.580379978078188,8.125,7.98888888888889,8.75,9.111116666666666,5.0,Fase 6,A,,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,,Fase 7 ,2016,1.0,449.0,12.0,12.0,7.666666666666667,6.3,10.0,4,0.0
2022,aluno346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno1124,Escola Pública,,,0.0,7.264,,Ametista,,,,7.9,8.6,5.6,6.0,8.1,8.4,5.0,Fase 4,F,Ingressante,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,-2.0,Fase 6 ,,,,,,,,,,
2021,aluno636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno188,Escola Pública,13,2,1.0,7.744167,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.08333,4.7,7.5,9.0,8.125,8.66667,10.0,Fase 3,C,,,,,,,,,,,,,,,,,
2020,aluno1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1348,Escola Pública,13,2,1.0,7.842224333333333,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,7.1,6.875,6.333333333333333,8.541666666666666,9.11112,10.0,Fase 3,R,,,,,,,,,,,,,,,,,
2021,aluno228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno323,Rede Decisão/União,11,4,0.0,6.053335000000001,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,9.1,5.0,4.5,2.5,6.416665,5.0,Fase 1,B,,,,,,,,,,,,,,,,,
